distance,fare,tip,total
1.37,7.5,2.36,9.86
3.65,13.0,2.0,15.0
1.52,8.0,1.0,9.0
1.07,6.5,1.54,8.04
3.06,17.0,4.26,21.26
2.47,10.0,2.76,12.76
2.8,10.5,2.85,13.35
4.5,18.5,4.46,22.96
2.4,17.5,0.0,17.5
1.0,6.5,0.0,6.5
1.57,8.5,1.8,10.3
1.47,9.5,0.0,9.5
0.6,5.0,0.0,5.0
0.3,3.0,0.95,3.95
10.6,33.5,0.0,33.5
0.66,9.5,1.2,10.7
0.9,7.0,0.0,7.0
2.05,10.0,2.66,12.66
1.26,7.0,1.0,8.0
0.87,5.0,1.0,6.0
1.6,7.0,2.15,9.15
1.1,7.0,1.0,8.0
4.32,17.0,5.2,22.2
0.67,6.0,2.33,8.33
1.52,7.5,2.16,9.66
0.0,52.0,12.21,64.21
1.51,8.0,2.36,10.36
4.41,17.0,4.26,21.26
0.76,5.5,2.64,8.14
20.9,52.0,0.0,52.0
0.7,5.0,1.85,6.85
0.74,5.5,1.25,6.75
10.05,33.5,0.0,33.5
3.68,20.0,4.71,24.71
0.0,2.5,0.0,2.5
3.01,12.0,0.0,12.0
1.3,7.5,0.0,7.5
3.5,15.5,2.0,17.5
6.81,23.0,2.0,25.0
1.01,6.5,0.1,6.6
1.74,8.5,2.06,10.56
6.66,20.0,0.0,20.0
8.88,25.5,6.41,31.91
1.68,12.5,0.0,12.5
4.36,15.0,0.0,15.0
1.15,8.0,0.0,8.0
4.07,14.5,0.0,14.5
4.3,18.5,0.0,18.5
9.12,26.32,0.0,26.32
18.74,58.0,0.0,58.0
